ACT460H1F,LEC 2001,9/4/2014,1,Tue,14,17,SS2135, , ,  ,,
AER210H1F,LEC 0101,9/4/2014,1,Mon,12,13,SF3202, ,"Ekmekci, Alis",  ,,
AER210H1F, ,9/4/2014,1,Mon,12,13,SF3202, ,"Davis, James",  ,,
AER210H1F, ,9/4/2014,1,Wed,12,13,SF3202, ,"Ekmekci, Alis",  ,,
AER210H1F, ,9/4/2014,1,Wed,12,13,SF3202, ,"Davis, James",  ,,
AER210H1F, ,9/4/2014,1,Fri,12,13,SF3202, ,"Ekmekci, Alis",  ,,
AER210H1F, ,9/4/2014,1,Fri,12,13,SF3202, ,"Davis, James",  ,,
AER210H1F,LEC 0102,9/4/2014,1,Mon,11,12,GB119, ,"Davis, James",  ,,
AER210H1F, ,9/4/2014,1,Mon,11,12,GB119, ,"Ekmekci, Alis",  ,,
AER210H1F, ,9/4/2014,1,Wed,11,12,GB119, ,"Davis, James",  ,,
AER210H1F, ,9/4/2014,1,Wed,11,12,GB119, ,"Ekmekci, Alis",  ,,
AER210H1F, ,9/4/2014,1,Fri,11,12,GB119, ,"Davis, James",  ,,
AER210H1F, ,9/4/2014,1,Fri,11,12,GB119, ,"Ekmekci, Alis",  ,,
AER210H1F,PRA 0101,9/4/2014,3,Wed,9,12,MB325, , , occurs once every three weeks,,
AER210H1F, ,9/4/2014,3,Wed,9,12,WB125, , , occurs once every three weeks,,
AER210H1F,PRA 0102,9/15/2014,3,Wed,9,12,MB325, , , occurs once every three weeks,,
AER210H1F, ,9/15/2014,3,Wed,9,12,WB125, , , occurs once every three weeks,,
AER210H1F,PRA 0103,9/4/2014,3,Wed,14,17,MB325, , , occurs once every three weeks,,
AER210H1F, ,9/4/2014,3,Wed,14,17,WB125, , , occurs once every three weeks,,
AER210H1F,PRA 0104,9/15/2014,3,Wed,14,17,WB125, , , occurs once every three weeks,,
AER210H1F, ,9/15/2014,3,Wed,14,17,MB325, , , occurs once every three weeks,,
AER210H1F,TUT 0101,9/4/2014,1,Fri,15,16,BA2195, , ,  ,,
AER210H1F, ,9/4/2014,1,Wed,17,18,SF1105, , ,  ,,
AER210H1F,TUT 0102,9/4/2014,1,Fri,15,16,HA401, , ,  ,,
AER210H1F, ,9/4/2014,1,Wed,17,18,SF1105, , ,  ,,
AER210H1F,TUT 0103,9/4/2014,1,Fri,15,16,BA2139, , ,  ,,
AER210H1F, ,9/4/2014,1,Wed,17,18,SF1105, , ,  ,,
AER210H1F,TUT 0104,9/4/2014,1,Fri,16,17,BA2145, , ,  ,,
AER210H1F, ,9/4/2014,1,Wed,17,18,SF1105, , ,  ,,
AER210H1F,TUT 0105,9/4/2014,1,Fri,16,17,BA2155, , ,  ,,
AER210H1F, ,9/4/2014,1,Wed,17,18,SF1105, , ,  ,,
AER210H1F,TUT 0106,9/4/2014,1,Fri,16,17,BA2139, , ,  ,,
AER210H1F, ,9/4/2014,1,Wed,17,18,SF1105, , ,  ,,
AER301H1F,LEC 0101,9/4/2014,1,Mon,12,14,BA1210, ,"Kelly, Jonathan",  ,,
AER301H1F, ,9/4/2014,1,Thu,12,13,GB119, ,"Kelly, Jonathan",  ,,
AER301H1F,TUT 0101,9/4/2014,1,Thu,13,14,GB119, ,"Kelly, Jonathan",  ,,
AER303H1F,PRA 0101,9/4/2014,1,Tue,13,14,WB219, ,"Emami, M. Reza",  ,,
AER307H1F,LEC 0101,9/4/2014,1,Tue,15,17,BA1230, ,"Hanson, Ronald",  ,,
AER307H1F, ,9/4/2014,1,Wed,13,14,BA1240, ,"Hanson, Ronald",  ,,
AER307H1F,TUT 0101,9/4/2014,1,Wed,14,15,BA1240, ,"Hanson, Ronald",  ,,
AER315H1F,LEC 0101,9/4/2014,1,Wed,15,17,BA1240, ,"Kheirkhah, Sina",  ,,
AER315H1F, ,9/4/2014,1,Fri,11,12,HA401, ,"Kheirkhah, Sina",  ,,
AER315H1F,TUT 0101,9/4/2014,1,Fri,10,11,HA401, ,"Kheirkhah, Sina",  ,,
AER407H1F,PRA 0101,9/4/2014,1,Fri,12,15,BA2155, ,"Damaren, Christopher",  ,,
AER501H1F,LEC 0101,9/4/2014,1,Thu,13,15,BA1240, ,"Nair, Prasanth",  ,,
AER501H1F, ,9/4/2014,1,Mon,10,11,WB219, ,"Nair, Prasanth",  ,,
AER501H1F,TUT 0101,9/4/2014,1,Mon,9,10,WB219, ,"Nair, Prasanth",  ,,
AER506H1F,LEC 0101,9/4/2014,1,Wed,15,17,WB219, ,"Damaren, Christopher",  ,,
AER506H1F, ,9/4/2014,1,Mon,11,12,WB144, ,"Damaren, Christopher",  ,,
AER506H1F,TUT 0101,9/4/2014,1,Mon,12,13,WB144, ,"Damaren, Christopher",  ,,
AER507H1F,LEC 0101,9/4/2014,1,Mon,15,17,RS310, ,"Davis, James",  ,,
AER507H1F, ,9/4/2014,1,Thu,11,12,RS208, ,"Davis, James",  ,,
AER507H1F,TUT 0101,9/4/2014,1,Thu,12,13,RS208, ,"Davis, James",  ,,
AER525H1F,LEC 0101,9/4/2014,1,Wed,13,15,BA1210, ,"Emami, M. Reza",  ,,
AER525H1F, ,9/4/2014,1,Fri,10,11,GB248, ,"Emami, M. Reza",  ,,
AER525H1F,PRA 0101,9/4/2014,2,Tue,15,18,MB67, , , occurs once every two weeks,,
AER525H1F,PRA 0102,9/8/2014,2,Tue,15,18,MB67, , , occurs once every two weeks,,
AER525H1F,TUT 0101,9/4/2014,1,Fri,11,12,GB248, , ,  ,,
APM384H1F,LEC 0101,9/4/2014,1,Fri,16,18,MC252, , ,  ,,
APM384H1F, ,9/4/2014,1,Mon,15,16,GB120, , ,  ,,
APM384H1F,TUT 0101,9/4/2014,1,Fri,15,16,GB412, , ,  ,,
APM384H1F,TUT 0102,9/4/2014,1,Thu,16,17,WB130, , ,  ,,
APM446H1F,LEC 5101,9/4/2014,1,Fri,15,18, , , ,  ,,
APS105H1F,LEC 0101,9/4/2014,1,Mon,17,18,GB221, ,"Rose, Jonathan",  ,,
APS105H1F, ,9/4/2014,1,Wed,17,18,GB221, ,"Rose, Jonathan",  ,,
APS105H1F, ,9/4/2014,1,Thu,17,18,GB221, ,"Rose, Jonathan",  ,,
APS105H1F,LEC 0102,9/4/2014,1,Fri,10,11,RS211, ,"Wang, Belinda",  ,,
APS105H1F, ,9/4/2014,1,Tue,10,11,RS211, ,"Wang, Belinda",  ,,
APS105H1F, ,9/4/2014,1,Wed,10,11,RS211, ,"Wang, Belinda",  ,,
APS105H1F,LEC 0103,9/4/2014,1,Mon,17,18,GB303, ,"Li, Baochun",  ,,
